DATE,TIME PERIOD,(LFSI.M.AT.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.BE.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.BG.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.CY.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.CZ.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.DE.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.DK.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.EE.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.ES.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.FI.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.FR.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.GB.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.GR.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.HR.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.HU.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.IE.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.IT.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.LT.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.LU.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.LV.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.MT.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.NL.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.PL.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.PT.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.RO.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.SE.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.SI.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.SK.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.U2.N.UNEHRT.TOTAL0.15_74.T)
1983-01-31,1983Jan,,,,,,,8.702955,,,,,10.985444,,,,13.336447,7.193251,,3.738719,,,9.989760,,,,3.835346,,,
1983-02-28,1983Feb,,,,,,,9.183641,,,,,10.930310,,,,13.597997,7.346508,,3.698542,,,10.217000,,,,3.830419,,,
1983-03-31,1983mar,,,,,,,9.129916,,,,,10.823506,,,,13.653701,7.401233,,3.470879,,,10.332794,,,,3.806125,,,
1983-04-30,1983Apr,,,,,,,8.895993,,,,,10.885859,,,,13.628715,7.251744,,3.274800,,,9.680808,,,,3.113030,,,
1983-05-31,1983May,,,,,,,8.470491,,,,,10.737689,,,,13.572889,7.231086,,3.194639,,,9.382542,,,,3.398893,,,
1983-06-30,1983Jun,,,,,,,7.970796,,,,,10.622092,,,,13.648103,7.249667,,3.105763,,,9.650862,,,,3.532000,,,
1983-07-31,1983Jul,,,,,,,7.679330,,,,,10.745246,,,,13.878933,7.118886,,3.186556,,,8.776570,,,,3.220030,,,
1983-08-31,1983Aug,,,,,,,7.725784,,,,,10.725518,,,,14.074809,7.135327,,3.320298,,,8.810416,,,,3.941061,,,
1983-09-30,1983Sep,,,,,,,7.930012,,,,,11.148071,,,,14.102171,7.290723,,3.303823,,,9.393120,,,,4.311738,,,
1983-10-31,1983Oct,,,,,,,8.085485,,,,,10.839653,,,,14.160452,7.582392,,3.427747,,,9.468058,,,,3.821946,,,
1983-11-30,1983Nov,,,,,,,8.228271,,,,,10.788624,,,,14.364395,7.798473,,3.600203,,,9.472659,,,,3.651238,,,
1983-12-31,1983Dec,,,,,,,8.359681,,,,,10.835240,,,,14.752180,7.892832,,3.640093,,,8.828946,,,,3.694927,,,
1984-01-31,1984Jan,,,,,,,8.840268,,,,,11.001201,,,,15.265570,8.239821,,3.695905,,,9.938326,,,,4.180870,,,
